Timestamp,Age,Gender,Marital status,Part TIme/ Full Time Student,Where are you from?,Which University / Institute are you from?,Which faculty are you from?,Which academic year are you currently in? ,What is your preferred mode of learning ?,Are you missing traditional learning?,Benefits of e-learning you feel compared to in-class learning? [Easy to attend classes without missing],Benefits of e-learning you feel compared to in-class learning? [Ability to record lecture],Benefits of e-learning you feel compared to in-class learning? [Access to more learning materials],Benefits of e-learning you feel compared to in-class learning? [Learning on your own pace],Benefits of e-learning you feel compared to in-class learning? [Comfort environment at home],Benefits of e-learning you feel compared to in-class learning? [More time to focus on other interest],Any other benefits you feel compared to in-class learning?,Strategies you like on Online Teaching  ? [Interactive Discussions only with the pre-uploaded  record Lectures],Strategies you like on Online Teaching  ? [Lectures with in-class quizzes],Strategies you like on Online Teaching  ? [Online team Activities [Breakout Room]],Strategies you like on Online Teaching  ? [Video based teaching with whiteboard],Strategies you like on Online Teaching  ? [Online teaching with touch Pad],Strategies you like on Online Teaching  ? [Lectures with Polls ],Strategies you like on Online Teaching  ? [Offline learning with recorded videos],What are the online based assessment methodologies you prefer ?,Generic skills and learning experience in E-Learning (E-Learning developed my problem-solving skills),Generic skills and learning experience in E-Learning (E-Learning helped me develop my ability to work as team member),Generic skills and learning experience in E-Learning (E-Learning helped me to develop the ability to plan my own work),Generic skills and learning experience in E-Learning (E-Learning improves my confident about tackling unfamiliar problems),"Generic skills and learning experience in E-Learning (As a result of E-Learning, I am more positive about achieving my goals)",Technical challenges you faces on E-Learning? [Poor network coverage],"Technical challenges you faces on E-Learning? [Issues is in handling IT infrastructures [Eg : Zoom, Moodle, Etc)]",Technical challenges you faces on E-Learning? [Lack of access to personal Computer],Technical challenges you faces on E-Learning? [Frequent power failures],Personal challenges you faces on E-Learning? [Lack of social interaction with colleagues],Personal challenges you faces on E-Learning? [Lack of Team work / Group Study],Personal challenges you faces on E-Learning? [Lack of motivation to study],Personal challenges you faces on E-Learning? [Lack of concentration ],Course related challenges you faces on E-Learning? [Missing practical experience ],Course related challenges you faces on E-Learning? [Missing group project activities],Course related challenges you faces on E-Learning? [Additional stress due to online exams],Course related challenges you faces on E-Learning? [missing class room Interative learning],Course related challenges you faces on E-Learning? [Lack of focus on lecture time],Any other challenges you faces compared to in-class learning?,Overall satisfaction through E-Learning,Which of the following do you still wish to have online if universities opt for a hybrid approach?,Please indicate that you agree to participate in this study
10/21/2021 5:21:54,24,Male,Single,No,Gampaha,University of Moratuwa,Engineering,Fourth Year,Hybrid Learning [Mix of Online and In Class Learning],5,Strongly Agree,Strongly Agree,Agree,Agree,Not Sure,Not Sure,,Not Sure,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Not Sure,"Online Presentations, Online Report Submissions",Diasgree,Disagree,Disagree,Disagree,Agree,Not Sure,Disagree,Disagree,Not Sure,Strongly Agree,Strongly Agree,Agree,Not Sure,Not Sure,Agree,Not Sure,Strongly Agree,Not Sure,,8,"Lectures, Assigments",I agree to participate in this study
10/21/2021 5:53:52,24,Male,Single,Yes,Kilinochchi,University of Jaffna,Technology,Fourth Year,Online Learning with Real-time Interaction,1,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Travelling time reduce,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Quizzes, Online Report Submissions",Not Sure,Agree,Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Diasgree,Diasgree,Strongly Disagree,Diasgree,Disagree,Disagree,Disagree,Not Sure,Disagree,,9,"Lectures, Assigments, Practical Sessions",I agree to participate in this study
10/21/2021 6:12:02,21,Female,Single,No,Vavuniya,University of Jaffna,Technology,First Year,Traditional Learning [In Class Learning],5,Disagree,Not Sure,Disagree,Agree,Not Sure,Agree,This is not very good for our study.,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Quizzes,Diasgree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,5,Practical Sessions,I agree to participate in this study
10/21/2021 6:23:07,21,Male,Single,Yes,Ratnapura,University of Jaffna,Engineering,First Year,Hybrid Learning [Mix of Online and In Class Learning],2,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Disagree,,Not Sure,Disagree,Agree,Agree,Agree,Disagree,Agree,Online Report Submissions,Strongly Disagree,Not Sure,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Not Sure,Strongly Agree,Strongly Agree,Agree,Not Sure,Agree,Agree,Agree,,3,"Lectures, Assigments",I agree to participate in this study
10/21/2021 6:27:38,23,Male,Single,No,Ratnapura,University of Jaffna,Engineering,Third Year,Hybrid Learning [Mix of Online and In Class Learning],,Disagree,Agree,Not Sure,Agree,Disagree,Strongly Agree,,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Quizzes,Diasgree,Disagree,Disagree,Disagree,Disagree,Agree,Not Sure,Not Sure,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,4,Lectures,I agree to participate in this study
10/21/2021 6:31:56,22,Female,Single,No,Ratnapura,University of Jaffna,Engineering,First Year,Traditional Learning [In Class Learning],4,Disagree,Agree,Not Sure,Agree,Agree,Agree,,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Quizzes,Not Sure,Disagree,Disagree,Not Sure,Strongly Disagree,Strongly Agree,Not Sure,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,,5,"Lectures, Practical Sessions",I agree to participate in this study
10/21/2021 6:33:34,20,Female,Single,No,Badulla,University of Jaffna,Technology,First Year,Traditional Learning [In Class Learning],5,Not Sure,Not Sure,Disagree,Agree,Agree,Agree,No benefits,Agree,Disagree,Agree,Agree,Not Sure,Agree,Strongly Disagree,Online Report Submissions,Diasgree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Agree,Not Sure,Agree,Not Sure,Agree,Diasgree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,5,None of them,I agree to participate in this study
10/21/2021 6:42:18,25,Female,Single,No,Kalutara,University of Jaffna,Technology,Third Year,Hybrid Learning [Mix of Online and In Class Learning],1,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Save money and time for food and movement,Strongly Agree,Not Sure,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,"Quizzes, Online Presentations, Online Report Submissions",Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Diasgree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,,10,"Lectures, Exams, Assigments, Practical Sessions",I agree to participate in this study
10/21/2021 6:44:31,23,Female,Single,No,Nuwara Eliya,University of Jaffna,Engineering,First Year,Traditional Learning [In Class Learning],,Agree,Agree,Agree,Agree,Agree,Not Sure,freedom to talk with anyone,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Online Report Submissions,Diasgree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,anyonenot sure,5,None of them,I agree to participate in this study
10/21/2021 6:47:30,22,Male,Single,No,Gampaha,University of Jaffna,Technology,Second Year,Online Learning with Real-time Interaction,,Agree,Strongly Agree,Not Sure,Not Sure,Strongly Agree,Strongly Agree,,Not Sure,Agree,Not Sure,Disagree,Not Sure,Agree,Disagree,Online Report Submissions,Strongly Disagree,Strongly Disagree,Not Sure,Strongly Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,,8,Exams,I agree to participate in this study
10/21/2021 6:48:44,23,Female,Single,No,Anuradhapura,University of Jaffna,Technology,Second Year,Hybrid Learning [Mix of Online and In Class Learning],2,Agree,Agree,Agree,Agree,Agree,Agree,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Quizzes, Online Presentations, Online Report Submissions",Diasgree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Not Sure,Strongly Agree,Strongly Agree,Strongly Agree,Not Sure,Agree,Agree,Not Sure,Agree,Not Sure,,5,"Lectures, Exams, Assigments",I agree to participate in this study
10/21/2021 6:51:04,22,Female,Single,No,Polonnaruwa,University of Jaffna,Technology,Second Year,Online Learning with Real-time Interaction,3,Agree,Agree,Not Sure,Agree,Agree,Agree,,Not Sure,Agree,Not Sure,Agree,Not Sure,Not Sure,Disagree,Quizzes,Not Sure,Disagree,Disagree,Not Sure,Not Sure,Agree,Agree,Agree,Not Sure,Agree,Agree,Not Sure,Not Sure,Agree,Agree,Not Sure,Not Sure,Not Sure,,6,Lectures,I agree to participate in this study
10/21/2021 6:53:16,22,Male,Single,No,Ratnapura,University of Jaffna,Engineering,First Year,Hybrid Learning [Mix of Online and In Class Learning],2,Agree,Agree,Agree,Not Sure,Strongly Agree,Agree,Enough time to study and mind is free,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Quizzes, Online Report Submissions",Not Sure,Disagree,Not Sure,Not Sure,Agree,Disagree,Disagree,Disagree,Agree,Not Sure,Agree,Diasgree,Diasgree,Agree,Agree,Disagree,Not Sure,Agree,,9,Lectures,I agree to participate in this study
10/21/2021 6:57:41,24,Male,Single,No,Hambantota,University of Jaffna,Technology,Third Year,Online Learning with Real-time Interaction,3,Agree,Agree,Not Sure,Agree,Agree,Agree,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Quizzes, Online Presentations, Online Report Submissions",Diasgree,Disagree,Disagree,Disagree,Not Sure,Agree,Disagree,Not Sure,Agree,Agree,Agree,Agree,Not Sure,Agree,Agree,Agree,Agree,Agree,,7,"Lectures, Exams, Assigments, Practical Sessions",I agree to participate in this study
10/21/2021 7:08:49,21,Male,Single,Yes,Galle,University of Jaffna,Technology,First Year,Hybrid Learning [Mix of Online and In Class Learning],4,Agree,Agree,Not Sure,Agree,Disagree,Agree,,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,"Quizzes, Online Report Submissions",Diasgree,Disagree,Disagree,Disagree,Not Sure,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Not Sure,Agree,Agree,Agree,Not Sure,Agree,,6,Assigments,I agree to participate in this study
10/21/2021 7:09:26,23,Male,Single,No,Nuwara Eliya,University of Jaffna,Engineering,Second Year,Hybrid Learning [Mix of Online and In Class Learning],2,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,,Not Sure,Agree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Quizzes,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Not Sure,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Diasgree,Not Sure,Agree,Strongly Disagree,Disagree,Not Sure,Not Sure,,7,Lectures,I agree to participate in this study
10/21/2021 7:09:55,21,Male,Single,No,Nuwara Eliya,University of Jaffna,Technology,First Year,Hybrid Learning [Mix of Online and In Class Learning],5,Not Sure,Disagree,Agree,Agree,Not Sure,Agree,Connection isues,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Quizzes, Online Presentations",Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Not Sure,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Physically can't discuse with lecturer and friends,3,Exams,I agree to participate in this study
10/21/2021 7:26:06,20,Female,Single,No,Anuradhapura,University of Jaffna,Engineering,First Year,Online Learning with Real-time Interaction,2,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,Agree,Agree,Strongly Agree,Strongly Agree,Not Sure,Agree,Strongly Agree,"Quizzes, Online Report Submissions",Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Not Sure,Agree,Diasgree,Diasgree,Agree,Disagree,Disagree,Agree,Strongly Disagree,,10,"Lectures, Exams, Assigments",I agree to participate in this study
10/21/2021 7:28:50,22,Female,Single,No,Ratnapura,University of Jaffna,Technology,Second Year,Traditional Learning [In Class Learning],5,Agree,Agree,Not Sure,Agree,Not Sure,Agree,Class lerning better than e lerning,Not Sure,Not Sure,Not Sure,Agree,Not Sure,Not Sure,Strongly Disagree,"Quizzes, Online Presentations, Online Report Submissions",Not Sure,Disagree,Disagree,Not Sure,Agree,Agree,Not Sure,Agree,Agree,Not Sure,Diasgree,Diasgree,Diasgree,Agree,Agree,Agree,Agree,Not Sure,Divice not properly work,4,"Lectures, Assigments",I agree to participate in this study
10/21/2021 7:31:09,22,Male,Single,No,Nuwara Eliya,University of Jaffna,Engineering,First Year,Traditional Learning [In Class Learning],3,Agree,Agree,Not Sure,Agree,Not Sure,Agree,,Disagree,Not Sure,Agree,Not Sure,Strongly Disagree,Not Sure,Strongly Agree,Online Presentations,Diasgree,Strongly Disagree,Disagree,Disagree,Disagree,Not Sure,Disagree,Not Sure,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Change the lecture time.,5,"Lectures, Exams, Practical Sessions",I agree to participate in this study
10/21/2021 7:39:16,22,Male,Single,No,Kandy,University of Moratuwa,Engineering,Second Year,Hybrid Learning [Mix of Online and In Class Learning],5,Disagree,Strongly Agree,Not Sure,Not Sure,Strongly Agree,Strongly Disagree,,Not Sure,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Not Sure,"Quizzes, Online Presentations, Online Report Submissions",Strongly Disagree,Strongly Disagree,Not Sure,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,3,"Lectures, Assigments",I agree to participate in this study
10/21/2021 7:43:59,23,Male,Single,No,Batticaloa,University of Jaffna,Engineering,Third Year,Hybrid Learning [Mix of Online and In Class Learning],5,Agree,Agree,Not Sure,Agree,Strongly Disagree,Strongly Agree,,Not Sure,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Not Sure,"Quizzes, Online Report Submissions",Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Not Sure,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,5,Assigments,I agree to participate in this study
10/21/2021 7:44:44,24,Male,Single,No,Trincomalee,University of Jaffna,Engineering,Third Year,Hybrid Learning [Mix of Online and In Class Learning],4,Agree,Agree,Not Sure,Not Sure,Agree,Agree,,Agree,Not Sure,Agree,Agree,Agree,Not Sure,Not Sure,"Quizzes, Online Presentations, Online Report Submissions",Strongly Disagree,Strongly Disagree,Not Sure,Strongly Disagree,Not Sure,Strongly Agree,Disagree,Not Sure,Disagree,Agree,Strongly Agree,Not Sure,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,,7,Assigments,I agree to participate in this study
10/21/2021 7:48:55,23,Female,Single,No,Anuradhapura,University of Jaffna,Technology,First Year,Traditional Learning [In Class Learning],4,Agree,Strongly Agree,Agree,Agree,Agree,Agree,,Agree,Agree,Not Sure,Agree,Agree,Agree,Agree,Quizzes,Diasgree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,,7,Lectures,I agree to participate in this study
10/21/2021 7:50:28,21,Male,Single,No,Nuwara Eliya,University of Jaffna,Engineering,First Year,Traditional Learning [In Class Learning],5,Disagree,Agree,Not Sure,Not Sure,Strongly Disagree,Strongly Disagree,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Quizzes,Strongly Disagree,Strongly Disagree,Not Sure,Strongly Disagree,Strongly Disagree,Strongly Agree,Not Sure,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Too much sleepy,1,"Lectures, Exams, Assigments, Practical Sessions",I agree to participate in this study
10/21/2021 7:51:47,22,Male,Single,No,Badulla,University of Jaffna,Engineering,First Year,Traditional Learning [In Class Learning],5,Not Sure,Not Sure,Agree,Strongly Agree,Agree,Agree,It's good but we are missing our practical knowledge,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Quizzes,Diasgree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Agree,Not Sure,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Electrical issue happened,6,Lectures,I agree to participate in this study
10/21/2021 7:54:02,21,Male,Single,No,Ampara,University of Jaffna,Technology,First Year,Traditional Learning [In Class Learning],5,Disagree,Strongly Disagree,Not Sure,Not Sure,Strongly Disagree,Agree,My house is not a suitable environment for me to study.. ,Agree,Not Sure,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,"Quizzes, Online Report Submissions",Strongly Disagree,Strongly Disagree,Not Sure,Strongly Disagree,Disagree,Agree,Disagree,Not Sure,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No. There is  network problems and frequently powercut. ,3,Assigments,I agree to participate in this study
10/21/2021 7:55:32,24,Male,Single,No,Mannar,University of Jaffna,Engineering,Third Year,Traditional Learning [In Class Learning],5,Agree,Strongly Agree,Not Sure,Agree,Agree,Agree,,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Quizzes,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Not Sure,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,5,Practical Sessions,I agree to participate in this study
10/21/2021 8:01:03,21,Male,Single,No,Matale,University of Jaffna,Technology,First Year,Traditional Learning [In Class Learning],5,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,"Quizzes, Online Report Submissions",Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,,8,None of them,I agree to participate in this study
10/21/2021 8:05:20,21,Female,Single,No,Matale,University of Jaffna,Engineering,First Year,Hybrid Learning [Mix of Online and In Class Learning],4,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Not Sure,Not Sure,Not Sure,Agree,Agree,Agree,Strongly Agree,Online Report Submissions,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,7,Practical Sessions,I agree to participate in this study
10/21/2021 8:06:07,23,Male,Single,No,Ratnapura,University of Jaffna,Engineering,First Year,Hybrid Learning [Mix of Online and In Class Learning],3,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,"Quizzes, Online Presentations, Online Report Submissions",Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Not Sure,Diasgree,Not Sure,Strongly Agree,Agree,Disagree,Agree,Disagree,,9,"Lectures, Exams, Assigments",I agree to participate in this study
10/21/2021 8:07:40,21,Male,Single,No,Vavuniya,University of Jaffna,Technology,First Year,Traditional Learning [In Class Learning],4,Disagree,Not Sure,Not Sure,Disagree,Not Sure,Not Sure,Safety for that days,Agree,Agree,Agree,Agree,Not Sure,Agree,Agree,Quizzes,Agree,Disagree,Agree,Agree,Not Sure,Agree,Disagree,Disagree,Agree,Diasgree,Not Sure,Diasgree,Not Sure,Agree,Agree,Not Sure,Agree,Not Sure,Yes,5,Practical Sessions,I agree to participate in this study
10/21/2021 8:10:25,24,Male,Single,No,Batticaloa,University of Jaffna,Technology,Second Year,Online Learning with Real-time Interaction,3,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,no need any other cost ,Not Sure,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,"Quizzes, Online Report Submissions",Agree,Agree,Strongly Disagree,Agree,Not Sure,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Not Sure,Agree,Agree,Disagree,Strongly Disagree,Not Sure,Disagree,e-learning is better than physical learning,9,None of them,I agree to participate in this study
10/21/2021 8:16:33,22,Male,Single,Yes,Kegalle,University of Jaffna,Engineering,First Year,Hybrid Learning [Mix of Online and In Class Learning],5,Agree,Strongly Agree,Not Sure,Not Sure,Agree,Disagree,,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Quizzes,Diasgree,Strongly Disagree,Not Sure,Disagree,Not Sure,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,,6,"Lectures, Assigments",I agree to participate in this study
10/21/2021 8:22:10,21,Male,Single,No,Puttalam,University of Jaffna,Engineering,First Year,Hybrid Learning [Mix of Online and In Class Learning],4,Agree,Agree,Agree,Agree,Agree,Agree,Connect with lecture directly.  ,Not Sure,Agree,Agree,Agree,Agree,Strongly Agree,Not Sure,"Quizzes, Online Report Submissions",Diasgree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Not Sure,Agree,Agree,Agree,Strongly Agree,Agree,Agree,,5,None of them,I agree to participate in this study
10/21/2021 8:27:50,25,Male,Single,No,Polonnaruwa,University of Jaffna,Engineering,Second Year,Online Learning with Real-time Interaction,3,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Not Sure,Much of what the lecturer teaches in an online class is easier to understand than a physical class,Not Sure,Not Sure,Agree,Agree,Agree,Agree,Not Sure,Online Presentations,Not Sure,Strongly Disagree,Disagree,Not Sure,Agree,Not Sure,Disagree,Disagree,Not Sure,Agree,Agree,Diasgree,Agree,Agree,Strongly Agree,Agree,Agree,Not Sure,No,10,Lectures,I agree to participate in this study
10/21/2021 8:43:55,24,Male,Single,No,Nuwara Eliya,University of Jaffna,Engineering,Third Year,Offline Learning [E-Learning with Recorded videos],4,Agree,Agree,Disagree,Not Sure,Strongly Agree,Agree,There is some success in having a chance to see lecture recording,Agree,Not Sure,Not Sure,Agree,Agree,Agree,Strongly Agree,"Online Presentations, Online Report Submissions",Strongly Disagree,Strongly Disagree,Not Sure,Strongly Disagree,Not Sure,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Not Sure,Agree,I think it has some effect on mental well-being,8,"Lectures, Assigments",I agree to participate in this study
10/21/2021 9:00:51,22,Male,Single,No,Mullaitivu,University of Jaffna,Technology,First Year,Online Learning with Real-time Interaction,3,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Good,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Quizzes,Diasgree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,,6,"Exams, Assigments",I agree to participate in this study
10/21/2021 9:05:27,23,Female,Single,No,Puttalam,University of Jaffna,Engineering,Second Year,Hybrid Learning [Mix of Online and In Class Learning],3,Disagree,Agree,Agree,Strongly Agree,Agree,Not Sure,,Not Sure,Not Sure,Agree,Disagree,Not Sure,Not Sure,Not Sure,Online Presentations,Diasgree,Disagree,Strongly Disagree,Disagree,Not Sure,Agree,Not Sure,Not Sure,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Not Sure,Agree,Agree,,6,Lectures,I agree to participate in this study
10/21/2021 9:10:38,22,Male,Single,No,Batticaloa,University of Jaffna,Engineering,Second Year,Traditional Learning [In Class Learning],5,Agree,Strongly Agree,Agree,Not Sure,Disagree,Agree,,Not Sure,Not Sure,Agree,Disagree,Agree,Not Sure,Disagree,"Online Presentations, Online Report Submissions",Strongly Disagree,Strongly Disagree,Not Sure,Strongly Disagree,Not Sure,Not Sure,Not Sure,Disagree,Agree,Not Sure,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,,6,None of them,I agree to participate in this study
10/21/2021 9:11:02,24,Female,Single,No,Anuradhapura,University of Jaffna,Technology,First Year,Traditional Learning [In Class Learning],4,Agree,Agree,Agree,Agree,Agree,Disagree,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Online Report Submissions,Diasgree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,4,Practical Sessions,I agree to participate in this study
10/21/2021 9:15:22,21,Female,Single,No,Kurunegala,University of Jaffna,Technology,First Year,Online Learning with Real-time Interaction,2,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,The degree can be completed quickly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,"Quizzes, Online Presentations, Online Report Submissions",Diasgree,Agree,Strongly Disagree,Disagree,Disagree,Not Sure,Not Sure,Not Sure,Not Sure,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Inability to be John in rainy weather,10,"Lectures, Exams, Assigments, Practical Sessions",I agree to participate in this study
10/21/2021 9:15:51,21,Female,Single,No,Kurunegala,University of Jaffna,Technology,First Year,Traditional Learning [In Class Learning],5,Agree,Agree,Agree,Not Sure,Agree,Not Sure,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Online Presentations,Diasgree,Disagree,Not Sure,Disagree,Not Sure,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,3,Lectures,I agree to participate in this study
10/21/2021 9:18:39,21,Female,Single,No,Kilinochchi,University of Jaffna,Engineering,First Year,Hybrid Learning [Mix of Online and In Class Learning],4,Not Sure,Agree,Strongly Agree,Agree,Agree,Agree,,Not Sure,Disagree,Strongly Disagree,Disagree,Agree,Not Sure,Disagree,Online Presentations,Diasgree,Disagree,Disagree,Disagree,Not Sure,Not Sure,Disagree,Not Sure,Not Sure,Agree,Strongly Agree,Not Sure,Agree,Agree,Agree,Not Sure,Agree,Strongly Agree,,6,Lectures,I agree to participate in this study
10/21/2021 9:28:15,22,Female,Single,No,Kurunegala,University of Jaffna,Technology,First Year,Hybrid Learning [Mix of Online and In Class Learning],2,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Online Report Submissions,Diasgree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,8,"Exams, Assigments",I agree to participate in this study
